Main Artist,Genres,Followers,Random Song,Lyrics
nf,hip hop,19018587,HOPE,"HopeYeah, I'm on my way, I'm comin'Don'tDon't lose faith in meI know you've been waitingI know you've been prayin' for my soulHopeHopeThirty years you been draggin' your feet, tellin' me I'm the reason we're stagnantThirty years you've been claiming you're honest and promising progress, well, where's it at?I don't want you to feel like a failureI know this hurtsBut I gave you your chance to deliverNow it's my turnDon't get me wrongNate, you've had a great runBut it's time toGive the people somethin' differentSo without furthеr ado, I'dLike to introduce myMy album My album , my albumMy album , my album , my album My album—HOPE"
trippie redd,hip hop,18657692,beauty,"Let go, so let go, jump inOh, well, whatcha waiting for?It's alright'Cause there's beauty in the breakdown4 a.m. I'm noddin' off Hope this wasn't fentanylHide behind this camouflage It's always my fuckin' fault But I don't wannalet go,solet go,let go, jump inOh, well, whatcha waiting for?I'm never gonna let go, let go 'Cause there'sbeauty in the breakdownI'm suffering from boredom in suburbia I need a hit of еuphoria , I'm stuck in DisturbiaI got this pain in my gut like a hernia I got the jittеrs they worryin' I don't take out, I just order in Cross the Arizona borderAnd ship across the sand like The Mandalorian Twenty one days clean , that won't breaka habitTwenty two days later, I'm a fuckin' addict Lost a real one, so I went and got him tatted Can't eat, can't sleep, life doesn't matter Cultivated in the seven layers 'Cause my family's cursed for seven generations In the numerology, I'm here to break it But the voice inside of me won't entertain it There's a part of me that stopped embracing Any memories, so I'm tryin' to erase them The medicine doin' damage to my brain 'Cause the pain is too present, I'm tryin' to be vacantUppers and downers are keepin' me up until"
jay-z,hip hop,17800105,No Church In The Wild,"Human beings in a mobWhat's a mob to a king?What's a king to a god?What's a god to a non-believerWho don't believe in anything?Will he make it out alive?Alright, alrightNo church in the wildTears on the mausoleum floorBlood stains the Colosseum doorsLies on the lips of a priestThanksgiving disguised as a feastRolling in the Rolls-Royce CornicheOnly the doctors got this, I'm hiding from policeCocaine seatsAll white like I got the whole thing bleachedDrug dealer chicI'm wondering if a thug's prayers reachIs Pius pious 'cause God loves pious?Socrates asked whose bias do y'all seek?All for Plato, screechI'm out here balling, I know y'all hear my sneaksJesus was a carpenter, Yeezy laid beatsHova flow the Holy Ghost, get the hell up out your seatsPreach"
j-hope,hip hop,17317541,on the street (with J. Cole),"Every time I walkEvery time I runEvery time I moveAs always, for usEvery time I lookEvery time I loveEvery time I hopeAs always, for us 내 두 발은 선뜻 걸어, anywhereJ in the air가는 길이 희망이 되고자 하여, 나 구태여Even my walk was made ofYour love and your faith보답을 해, 저 멀리서라도 나비가 되어Now, just walk lightly, whenever you wantGo on, hopefully, wherever you walk누군가의 숨이 깃들어 있는 거리내 영혼과 영원을 담을게Everywhere Every time I walkEvery time I runEvery time I moveAs always, for usEvery time I lookEvery time I loveEvery time I hopeAs always, for us "
sza,hip hop,16328700,Kill Bill,"I'm still a fan even though I was saltyHate to see you with some other broad, know you happyHate to see you happy if I'm not the one drivin'I'm so mature, I'm so matureI'm so mature, I got me a therapist to tell me there's other menI don't want none, I just want youIf I can't have you, no one shouldI mightI might kill my ex, not the best ideaHis new girlfriend's next, how'd I get here?I might kill my ex, I still love him thoughRather be in jail than aloneI get the sense that it's a lost causeI get the sense that you might really love herThis text gon' be evidence, this text is evidenceI tried to ration with you, no murders or crime of passion, but damnYou was out of reachYou was at the farmer's market with your perfect peachNow I'm in the basement plannin' home invasionNow you layin' face-down, got me singin' over a beat"
burna boy,hip hop,16111770,For My Hand (feat. Ed Sheeran),"I wanna be in your life until the night is overI wanna hold you so tight, so tight, come in closerIt's been a hell of a ride for every single momentYou were there by my sideWhenever I'm broken, you make me feel wholeWhenever I'm lonely, you're there for my soulWherever you are, girl, that's where I call my homeWhenever you doubt it, I'll be lеttin' you knowWoah, girl, I want to be dancin' with you foreverYou see through thе storm and take me as I amBaby, it's magic any time that we're togetherI make, I just love you and hold you for my handHold you for my hand, my hand, handHold you for my hand, hold you for my handOver and over again, yeah, my love is burning, babyFeels like time is frozen and the night is for usAnd we're alone again and every moment's golden, yeahFeelings I've been holding in, it must be love"
cartel de santa,hip hop,15934436,Vato Sencillo,Aqui de regreso rimandola con pesoNomas pa que waches la agilidad del sesoPor eso sigo siendo el patronCabron como no desde Casa BabilonEl que los desbarata cuando los atacaBola de perras flacas a mi no me opacanVolteame la placa como lo que acostumbranPero ni asi me tumban soy el que los derrumbaComo el terremoto del ochenta cincoPinchen bola de jotos de un verso me los hincoPara que sigan mamando y sacandomele brilloYo los azorrillo nomas con es el estiloNo ando de crecido soy un vato sencilloRaperos presumidos quedaron sorprendidosAl ver que sin billete me ganaba a la gentePinche bola de ojetes por algo somos los jefesNo ando de presumidoSoy un vato sencilloVivo la vida chido y brilloMas que tu puto bling bling x2Perro loco por naturalezaRimando con destreza pa que muevas la cabezaA mi no me acompleja lo que hable gente pendejaYo canto pa mi raza y lo de mas no me interesaEstoy donde me encuentro porque me lo e ganadoSiempre me la e rifado traigo escuelon pesadoAsi que cuidado mejor ni las muevasQue los que han intentado acaban dando pena ajenaSe creen la mera vena y en corto los humilloYo desde bien morrillo tengo afilado el colmilloAsi de sencillo en pocas palabras los perros que mas ladranResultan los mas cabras es mejor que se abranPa que pasen los grandes los pelones que cantan y tiran Puro CartelEsos que representan Mexico en el mundo enteroDesde Santa Catarina ya saben los meros meros
farruko,hip hop,15882026,Hola Beba,""" ft. J Alvarez & Jory Boy]Hola, beba ¿Cómo tú te llamas? Te llamas Hola, beba ¿Cómo tú te llamas? Te llamas J AlvarezVamo' a prenderno' en llama'Beba, que sé que el sexo te llamaQuiero verte modelando así encima 'e la camaTengo un par de truco' pa' comerte completaFarruko me llamó y me dijo que estabas a dietaQuiero saber tu nombre, ma, no me diga' na'Que tú sabe' que lo tuyo por ley te vaNo te vo'a decir mi nombre, ya tú sabe' quién yo soyVamo' a lo que vinimo', así que date un shotUh, no le temas a la oscuridadQue a ti nada te va a pasarY aunque no me digas tu nombreEsta noche voy a ser tu hombreUh, no le temas a la oscuridadQue a ti nada te va a pasarY aunque no me digas tu nombre Esta noche voy a ser tu hombre "
lil tjay,hip hop,15865441,Leaked,"Woah, yeahLil TjaySo I'm skrrting off the scene in a foreign, see me goin' Me and YG up in Cali smoking GT out the bong Shawty pulled up in a thong, I don't know what she onIf she ask to spend the night then I might give her what she wantEverything is going Gucci, see me Lou VI can't let a nigga shoot me, I'm in a two seatAnd before I speak about it, rather grab a loose leafThirty clip of the dip, and I'm in a hooptyAnd we spin the opp block with a mini UziHad to send a couple shots, I been acting bougieAll the sudden all these thots let me in they coochieThey gon' make they pussy pop tryna get my blue cheeseLow-key I be in the streets tryna ODLow-key 'cause the industry, I'm not the old meLow-key started peeping niggas not my homiesPhony nigga ate that shit like macaroniAnd I remember last year niggas went to ConeyNever thought that this year I'd have a deal with SonyLil TJay SB, I'm the one and onlyAnd I just came home and everybody know meIf you want another G.O.A.T., guess you gotta clone meQuit talkin' 'bout some loyalty you never showed meNigga, I don't owe you like you never owed meOnce I got a little clout, everybody know meAnd we never had to prove this, we really do thisYou was never in the field, you was on your school shitNow my energy is boosted, my mind exudedThey gon' make a nigga lose it, they acting stupidI got up out my Birkin, it's workin'She said she a virgin, it's hurtin'But she ain't never show me love when my pockets hurtin'Now she see a nigga on, she fucking and slurpingAnd they see me puttin' on and it got them nervousWe don't never need to ball, I did it on purposeAnd I used to play the block with the fiends, got some knots in my jeansIf a nigga talk hot, we gon' pop for his bean I'm coming strong and they knew thatYou ain't no competition, boy, don't think you wanna do that You had your chance, but you blew that Everybody asking who that? The fuck going on?Someone in my circle started leaking all my songsI'ma stay ten toes, I'ma still go strongI don't get these snake niggas, we just can't get along"
prince royce,hip hop,15721178,Morfina (feat. Paloma Mami),"Anoche me di un trago pa' pode' olvidarteY hoy le rezo al cielo pa' volver a verteBuscando en otra' pieles pa' pode' encontrarteNo sé si a ti te pase igualAnestésienme una y otra vez, quítenme este dolorSi hay un doctor, que me dé medicinaPa' que me baje un poquito el dolorPorque tus labios fueron mi morfinaAnestésienme una y otra vezTú ere' una droga, no una medicinaLa misma cura y causastе dolorEs que tus labios fueron mi morfinaAnestésiеnme una y otra vez¿Cuántas veces yo intenté a ti olvidarte?No sé cuántas veces te busquéEn otros labios pa' sanarmeLo único que sé que de ti tengo sedSin ti no puedo serYo lo que quiero es darte un par de besitosY quién sabe si pase un poquito másTambién quiero enseñarte un par de truquitosQue volvamo' a intentar no es undelito"
rm,hip hop,15661486,Hectic (with Colde),"Yesterday was a hecticThere was nothin' romanticIf I can just find a reasonTo keep this endless chasin' Yesterday was a hecticThere was nothin' romanticIf I could only imagineJust one another heaven 또 멋쩍은 나의 웃음낡아빠진 추억들할 말이 없는 사람들의돌고 도는 liquor talks하루 더 죽어가는 느낌밤의 올림픽대로형형한 불빛, 난폭한 택시이젠 지겨워진Met the people, people, people Hate the reason, reason, reason If bornin' is a painHow should we do this game?Keep on thinkin', thinkin' and I"
nle choppa,hip hop,15124711,Shotta Flow (feat. Blueface) - Remix,"I wish everything I touch would turn to goldNLE, you heard me?Baby Mexico Choppa, man, Top ShottaBaby Mexico Shotta, you heard me?We finna talk our shit, you heard me?YNR Midas got a jugg, ayyYeah, yeah, yeah, yeahI am a menace, keep me a rack just like tennisI'm with the shit like I'm DennisI started this shit, I'ma finishNiggas be hatin', tryna blemish my imageWho want the smoke? .223 came with the scopeExtended clip long as a ropeWe wipe his nose, just like he had him a coldI knew that boy was a hoPull up with the gang, you know that we bangin'What is your set, nigga? What is you claimin'?I am a beast, you cannot tame itDon't point a finger, this shit can get dangerousThese niggas hatin', these niggas plottin'Ooh, he got money, I'm runnin' his walletYou say you a killer, lil' nigga, stop itIn a shootout, your gun was droppin'You really a fraud, you cannot stomp on this yardMy niggas, they scammin', they swipin' them cardsI am so high that I'm talkin' to starsI'm gone off them jiggas, I'm poppin' them barsDon't mind my pimpin', bitch, don't sweat meChopper got a kick, call that shit Jet LiSauce Gang dripped up, what is your recipe?Gon' get an F if a nigga try testin' meWhole lotta money, whole lotta gualaHit the party fifty deep, nothin' but my shottasNigga tried me so you know I had to pop himSo many bullets, it confused the doctorWhole lotta racks, whole lotta stacksFuck a headshot, I'ma shoot him in the backThree-point-five rolled up in the Cack'We don't smoke reggie, this shit called gasI'm sticked up like a blind manI'm super hot like a frying panHe say that he gon' take somethin' from meAyy, just know, he lyin', manI'ma up from my hip then blow like a whistleYour bitch suckin' dick like a Kool-Aid pickleTwo bullets in your chest, that's a nippleAnd if a nigga run up, I'ma pop him like a pimpleGet rich or die tryin', I'm feelin' like 50Brand new chopper got double-D tittiesNigga, don't play me, I don't get sillyLove all the beef like a Southwest Philly, yeah"
yo yo honey singh,hip hop,14846556,Party On My Mind,"मैंने पहने party shoes, gonna let my body looseऔर ली है थोड़ी booze, there's party on my mindहै hottie-hottie ride, 'cause Saturday है nightऔर music भी है right, there's party on my mindMind, mind, mind, mind, mind, mind, mindयूँ करते पार्टी-शार्टीजैसे हो पहली बारीसाँसें थक जाएँ जो, कह दे, ""चल, घर let's go""चिल्ला-चिल्ला कह दोमस्ती की खोलो खिड़कीजैसे परवाह ना कल कीक़दमों को फिरकी दो, हाथों को ऊपर लोआँखें तो बंद कर दोमैंने पहने party shoes, gonna let my body looseऔर ली है थोड़ी booze, there's party on my mindहै hottie-hottie ride, 'cause Saturday है nightऔर music भी है right, there's party on my mindPa-pa-party आज की रातਸੋਹਣੀ-ਸੋਹਣੀ ਕੁੜੀਆਂ ਮੇਰੇ ਸਾਥदारू मँगा लो, मेरे यारों, फिर बनेगी बातसारी रात करेंगे boozeGotta take you on my cruiseपहन ले अपने party shoesMy lady, you can't refuse"
rae sremmurd,hip hop,14763639,Come Get Her,"Trippin'Mike WiLL Made-ItSomebody come to the floor, it feels like we've met beforeSomebody come get her, she's dancin' like a stripper Somebody come get her, she's dancin' like a stripper Somebody come tip her, she's dancin' like a stripper Somebody come get her, she's feelin' all the liquor Chopped and screwed upI'm a pothead, true enough At your ex crib and you're boo'd up Take it slow, baby, we in no rushHennessy or Don Q? That's a very hard choiceFor the diamonds on my pinky, need a gang of cool pointsAnd the drop head make 'em drop dead, yeah Ye ain't scared, ye ain't scared, ye ain't scared, yeahBelieve me, I'm outcheaYou see me, in actionI've heard a lot, a lot about youPassin' 'round blunts like a hot potato And you dancin' on the table, gushin' like volcano "
becky g,hip hop,14374317,Sin Pijama,"Sin PijamaNo-noUoh-ohUoh-ohSi tú me llama'No' vamo' pa' tu casaNo' quedamo' en la camaSin pijama, sin pijamaSi tú me llamasNo' vamo' pa' tu casaNo' quedamo' en la camaSin pijama, sin pijama Si tú me llama'MayoresWoah-oh, oh-oh-ohOh, oh, oh, woahWoah-oh, oh, oh"
lil wayne,hip hop,14364704,Mrs. Officer,"]AyyAyy Hey Ayy, ayy, ayy Woo woo woo!  yeah yeah yeah Woo woo woo!  yeah yeah yeah Woo woo woo! Yeah yeah yeah Woo woo woo! ]When I get up all in ya We can hear the angels calling us We can see the sunrise before us And when I'm in that thang, I'll make that body sang I make it sayWee-ooh-wee-ooh-wee  wee-ooh-wee-ooh-wee Wee-ooh-wee-ooh-wee Wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee Wee-ooh-wee-ooh-wee I make ya say]Yeah, doin' a buck in the latest dropI got stopped by a lady cop, hahaShe got me thinking I can date a cop, hahaCause her uniform fit her so tightShe read me my rightsShe put me in her car, she cut off all the lightsShe said I have the right, to remain silentNow I got her hollering, sounding like a sirenTalking 'bout  yeah Yeah  yeahAnd I know she the law, and she know I'm the bossAnd she know I get high, a-bove the lawAnd she know I'm raw, she know I'm from the streetsAnd all she want me to do is fuck the policeTalking 'bout Yeah  yeah"
rick ross,hip hop,14297655,Champagne Moments,"Maybach MusicFish tanks and marble floors, livin' big and badNiggas laugh until they hit with my official jabCrack smoke is the exhaust from my pen and padGhostwriters, they get to floss what you could’ve hadRecord label takin' a loss, are you in your bag?You a worker wantin' to chart, don’t make me laughGet to mine, tell by my watch, this a different timeLivin' fine, I'm gettin' high as your shit declineWho believes he movin' keys in his Louis V's?Run up on you and snatch your chain, watch you bitches bleedFeel the pain or just describe where you really rideEither you niggas gettin' money or ready to dieB-I-G or give a fuck if you Chi-AliYou got it and you keep it tucked if you be by meDo the job, better known as the Charles SchwabDouble R's spread through the yard, and I swear to GodPop a Perc’ for the feel, go and count me a mil’Kill you niggas for free, do it all for the thrillNiggas leakin' they records when we speakin’ directlyIf we keepin' it gangster, when you see me, you check me"
metro boomin,hip hop,14102192,Type Shit,"Lyrics fromSnippetYeah, yeah, PlutoI don't hang with rats, that's some new type shit Get a nigga whacked on the news type shit Sippin' drank and Activis on some Screw type shitJust a sad ho runnin' through the crew type shitI got a bad bitch at home, voodoo type shitTake down Meg Thee Stallion's by the group type shitThat's some thick shit, I just thought you knew type shitI just tricked off, I don't just usually do this type shitPockets racked up, all blue, type shitBunch of rich niggas, hoes get confused type shitAtlanta nigga, I live like Ted Turner type shitOn camera, knockin' jaws loosе type shitI canceled hеr, kick her out the stu' type shitA silent hitter, I just keep it cool with you bitchesA solid nigga, countin' dog food type shitMovin' through the city with your boo type shitShe's ready to suck me up like soup type shitYou goin' against the guys and you gon' lose type shitPray to God I ain't knock you out your shoes type shit "
wisin & yandel,hip hop,14098546,Besos Moja2,URL not found
6ix9ine,hip hop,13757462,KEKE,"Scum Gang!AF NationI be on the block, on the regularWith my niggas bustin' at the cops, on the regularBitches suckin' dick, givin' top, on the regularCatch me water whippin' straight drop, on the regularYeah, you know I run up with the shit, on the regularBare-faced, I'ma hit a lick, on the regularPosted with the drop, gun cocked, on the regularYeah, I'm 6ix9ine with the 9, on the regularNiggas want war, yeah, kick their door, yeahNiggas want the sauce, yeah, shake 'em off, yeahI'm still in the hood, yeah, bussin' juggs, yeahRollin' through the city, yeah, with my niggas, yeahNiggas want they bitch back, I don't chit-chatRun up, hear a ""Click-clack"", blow your shit backBaby, I ain't a hot boy, I'm a block boyDouble trigger Glock , make him Diddy Bop, boy Nigga, we be bustin' at the opps, on the regularNigga, we be duckin' from the cops, on the regularBitches suckin' dick and givin' top, on the regularShit that's on my wrist, it cost a lot, it ain't regularNigga, if it's comin' from my spot, it ain't regularSomeone's will is on a different side, it ain't regularYou can't take the money when you die, it ain't regularNiggas with me, really ready to die, on the regular "
bizarrap,hip hop,13631576,Mamichula - con Nicki Nicole,"Como Pac, all eyes on meVivo facts, son leyes, homie Mami chula, si queré' voy a buscarteQue la cima está viniendo por míMami, no me digas que no Si sos la lluvia del Trueno Mami chula, si te va' vo'a morir más famoso que LennonDime-Dime-Dime tú, yo le llegoA dejarlo me niegoBaby, dime qué yo tengo que hacer pa' verno' de nuevoMe despierto, 6 a. m. en otro barrio un domingo Pero decime dónde está', estoy en cincoSé que todo' eso' bobo' son más de lo mismo Y que vos querés un turro que esté puesto pa' quererteY pa' sacarte de tu vida normal Perdón a tus viejo' si no visto formal Pero también les tenés que contarQue por vos voy por tierra, voy por cielo y por mar"
myke towers,hip hop,13527025,DESATAAA,"Ya, ya se dio cuentaYa se dio cuentaYa se dio cuenta Que el corazón no sirve, y pues, lo puso en venta Lo que me cuentan es que ella no inventaSe amarró a los sentimiento', pero anda suelta Y a mí me gusta más asíDesatá'Se dice que ella es una bellacaTiene una diabla y la quiere sacarYa no quiеre compromiso, ahora quiere portarsе malNo fuma y hoy quiere enrolarPa' mí eso es que andadesatá'Se dice que ella es una bellacaTiene una diabla y la quiere sacarYa no quiere compromiso, ahora quiere portarse malNo fuma y hoy quiere enrolarPa' mí eso es que anda desatá'"
agust d,hip hop,13452794,Life Goes On,어떠한 이유로 우리가멀어져 버리게 되었지하지만 우리 우리 우리는원망하지 않기로 해그 무엇도 우리 사이를떼어낼 수 없다 했는데자꾸만 두려워져가영영 멀어질까 봐이 음악을 빌려 너에게 나 전할게사람들은 말해 세상이 다 변했대다행히도 우리 사이는 아직 여태 안 변했네우리 인사하자 bye 아닌 hello세상이 내 뜻대로 안된다 해도우리 바람대로 며칠 밤만 세고다시 만날 날을 너는 절대 잊지 마시간은 흘러가고누군가는 잊혀가겠지그저 하고픈 대로시간은 마치 파도썰물처럼 밀려가겠지그래도 잊지 말고 나를 찾아줘
pop smoke,hip hop,13377611,Dior,"Traphouse MobHuh,  roll another oneSaid  I'm never lackin', always pistol packing With them automatics, we gon' send him to heaven Wait, wait, wait, wait, ayy, ayy, woo , huhOh,  you feelin' sturdy, huh? Shake  some', huhShake it, huh, shake it, huh, shake it, huhShe  like the way that I danceShe like the way that I moveShe like the way that I rockShe like the way that I wooAnd  she let it clap for a niggaAnd she throw it back for a niggaMike Amiri, Mike AmiriBillie Jean, Billie Jean Christian Dior, DiorI'm up in all the storesWhen it rains, it poursShe like the way I rrrMike Amiri, Mike AmiriBillie Jean, Billie Jean Christian Dior, DiorI'm up in all the storesWhen it rains, it poursShe like the way I rrr"
a$ap rocky,hip hop,13232770,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Not done fightin'I don't feel I've lostAm I dreamin'?Is there more like us?Got me feelin'Like it's all too muchI feel beatenBut I can't give upI'm still fightin' I don't feel I've lostAm I dreamin'?Is there more like us?Got me feelin'Like it's all too muchI feel beatenBut I can't give upUh, wakin' up, feelin' like the thankful oneCount up my ones, lacin' up my favorite 1sOne-of-a-kind, one of one, the only oneGot one shot and one chance to take it onceKiss my mama on the forehead, 'forе I get the code rеd'Cause I was born, bred to go in, toast readySwing by 410, beef patty, cornbreadIn the concrete jungle, where my home isAll get focused, all raise your toastesThe nickname: Mr. Keen-To-Do-the-MostestI was livin' down bad in my folks' cribNow I'm laughin' to the bank and the joke isDid more things than folks did, or folks getWe been gettin' this fly since some poor kidsMy rich friends and my broke friends coexistThey love to mix, and we know what it is"
50 cent,hip hop,13190905,Candy Shop,"Yeah, uh-huhSo seductiveI take you to the candy shopI let you lick the lollipopGo 'head, girl, don't you stopKeep goin' until you hit the spot, woahI take you to the candy shopWant one taste of what I got?I'll have you spendin' all you gotKeep goin' until you hit the spot, woahYou could have it your way,how do you want it?You gon' back that thing up or should I push up on it?Temperature risin', okay, let's go to the next levelDance floor jam-packed, hot as a tea kettleI'll break it down for you now, baby, it's simpleIf you be a nympho, I be a nymphoIn the hotel or in the back of the rentalOn the beach or in the park, it's whatever you intoGot the magic stick, I'm the love doctorHave your friends teasin' you 'bout how sprung I got youWanna show me you could work it, baby? No problemGet on top, then get to bounce around like a low riderI'm a seasoned vet when it come to this shitAfter you work up a sweat, you could play with the stickI'm tryin' to explain, baby, the best way I canI'll melt in your mouth, girl, not in your hand, ha-ha"
rod wave,hip hop,13047625,Heart On Ice,"SpeakerBangerzLook, uh, lookHeart been broke so many times I don't know what to believeMama say it’s my fault, it's my fault, I wear my heart on my sleeveThink it's best I put my heart on ice, heart on ice ’cause I can't breatheI'ma put my heart on ice, heart on ice, it's gettin' the best of meWhile in the cell with Lil' Hakeem, after I slapped him I had told him""I don't know how you get down with them clowns but I'm a soldier""No one could understand, I had way too much aggressionThat built over the years from my abandoned adolescenceSee I done been lied to, backstabbed, and heartbrokenI wanted to cry but I was too afraid to openPrayin’ one day I’d find a peace of mind by the oceanI spent all my time committing crimes to get closerWhile at my nana house I play the couch, starin' at the ceilingTryin’ not to get in my feelingsThinkin' of a way I could make these millionsMaybe that'll take this pain away and clear up all these rainy days, yeahHeart been broke so many times I don't know what to believeMama say it’s my fault, it's my fault, I wear my heart on my sleeveThink it's best I put my heart on ice, heart on ice 'cause I can't breatheI'ma put my heart on ice, heart on ice, it's gettin' the best of me"
frank ocean,hip hop,12452953,Chanel,"My guy pretty like a girlAnd he got fight stories to tellI see both sides like ChanelSee on both sides like ChanelSwimming laps through pool waterHeated like I'm underworldHide my tattoos in ShibuyaPolice think I'm of the underworld12 treat a nigga like he twelveHow you looking up to me and talking down? Can't you see I am the big man? God level, I am the ""I Am"" Now film it with that drone cam,in the pink like Killa CamPut a zoom on that stick, Noé, up so close, I'm on that killRemote controller on your lower back,yes, the goodDick could roll the eyes back in the skullRolling when you ride, poppingRolling when you ride, ride the RodmanGot one that's straight actingTurnt out like some dirty plastic 2016: burnt some discs 2017: ideas playing off a WalkmanThis a cult, not a clique on the netWith a cup in a cup, ActavisThat's a double edge, ""Issa knife!"" And I don't like to fight 'til I'm fighting Revenge in the air makes my lungs sickChopper in the sky like a gun trick Clips on clips like Mikey It's really all"
eladio carrion,hip hop,12187031,Coco Chanel,URL not found
kevin gates,hip hop,12131641,Really Really,"Diamonds really diamondsAnd I'm shining bright 'cause I'm really grindin'They ask me if I'm real, I say, ""Is you serious?""My daughter gon' love this bitch hereAll my diamonds shine 'cause they really diamondsBad bitches in line, they be really tryingThey ask me if I'm high, I say, ""Really really""Got money on my mind, I say, ""Really really""I look like I been ballin' 'cause I'm really ballin'I won't apologize, I'm not really sorryThey ask me if I'm lyin', I say, ""Really really""I'm really out my mind, I say, ""Really really""Really reallyMake 'em believe, I made 'em believeA lyrical song writer and he can singBringing in money like raking in leavesI was just trying to get paper to sneezeAchoo, that was a blessingShe special to you, I don't look at her specialActually, I treat her regularNot being seen, we not making no spectacleGates had her first then he gave her to KevinAll the above, we do all the et ceteraScared of the feds, had to switch up my cellularHe talking reckless, don't call me back everPassing through Gardere to holler at GloverShout out to Black, shout out to CedricGrey Monte Carlo, cocaine 911Just hollered at Trav, I'm like the ReverendMy section ridiculous, watch where you steppin'Pockets on indigent, can't be too carefulSteve like 'em tall and when they yellowBroke and in college, fresh with low mileageI like 'em black, pretty white teethBody unique, booty on fleekJhené Aiko, chewing her cheeksGroceries, please, you know that was me"
sech,hip hop,12113101,Volando - Remix,"""]Yeah-yeah, yeah-yeahYeah-eh, ey, eyDisfruto el poder verte aunque no sea conmigo , no, eyTengo que conformarme con ser solo tu amigoSiempre pensando en tu nombre, vivo distraídoPor fin me enamoré y resulta que e' prohibidoMá' alante vive gente, pero no me he movidoSigo estanca'o, siempre soñando contigoEl DM explota'o, pero las dejo еn leídoMis letra' siemprе tienen tu nombre y apellidoViviendo con mil pregunta', el lápi' sin puntaDe todo lo que escribo, ma', tú tiene' la culpaLlevo un año pagando la misma multaTú ere' ese mal que no sé por qué me gustaEl no poder olvidarte me frustraTe lo juro que me frustraPero si me llamas le llego volandoEn la Mercedes voy capsuleandoY cuando no está', te sigo imaginandoY sin ropa en mi cama, mi nombre gritandoY si me llama' le llego volandoEn la Mercede' voy capsuleandoY cuando no está', te sigo imaginandoSin ropa en mi cama, mi nombre gritando, oh"
logic,hip hop,12003460,Homicide (feat. Eminem),"Son, you know why you the greatest alive?Why, Dad?Because you came out of my balls, niggaHahahahahahaFuck rapBustin' like an addict with a semi-automaticWho done had it, and he ready for anybody to buck backHold up, catch a vibe, ain't no way in hell we leavin' nobody aliveLeave a suicide note, fuck thatBobby feelin' villainous, he killin' thisI'm comin' for your man and his lady and even the babyI'm feelin' like I'm, chika-chika-chika, Slim Shady with rabiesI'm foamin' at the mouth, ain't nobody takin' me outEvery single rapper in the industry, yeah, they know what I'm aboutAnd I dare you to test me'Cause not a single one of you motherfuckers impress meAnd maybe that's a little bit of an exaggerationBut I'm full of innovationAnd I'm tired of all of this high school ""He's cool, he's not"" rap shitCan a single one of you motherfuckers even rap? ShitNo, this ain't a diss to the game, this is gas to the flameNowadays, everybody sound the same, shit's lameLike a moth to the flame, I'ma reel 'em in and kill 'emKnow you feelin' lyricism when I'm spillin' it, I'm feelin' myselfYeah, yeah, Bobby Boy, he be feelin' himselfMass murder like this can't be good for my healthWhen I rap like this, do I sound like shit?Well, it don't really matter, 'cause I'm killin' this shitYeah, I'm killin' this shitOh yeah, oh yeah, I'm killin' this shitBobby, how many times you been killin' this shit?Find another rhyme, goddamn, nigga, shit"
sfera ebbasta,hip hop,11955816,15 Piani,"Non dormo la notte, mi scoppia la testa Piano A, piano B, non mi interessa Classe A, Classe G, sorpasso a destra Dieci g, venti g, fumo alla finestraE scusami, ho il cuore freddo ma la testa calda Ragazzini di provincia, sogni di città So come vendere un disco con su la mia faccia So come vendere il fumo se ritorno là Ti amano finché sei povero Fai due soldi in più di loro e non approvano Popolare, però non sei più del popolo Solo perché ce l'hai fatta, un po' ti odiano, ehiGiuro, sono ancora io  se riguardo foto di quando ero bimboFacevamo le promesse con il mignoloE una carezza ti può lasciare un brivido, un livido, oh Qua ti tengono a terra, non voglion vederti volare Elicottero, passo sulle vecchie case dell'AlerQuando parli di me, ti fai male Religione tutte le mie barre Qua si tatuano addosso il mio nome Mi hanno visto diventare grande Un piano, due piani, tre piani, poi quattro, salgo gli scalini di corsaIl quinto, poi il sesto, poi il settimo, ottavo, sappiamo che la vita è cortaSopra 'sti palazzi non si vede il sole, sotto 'sti palazzi c'è l'ombraE, per ogni fra' che va via, poi ce n'è almeno uno che torna"
nicki nicole,hip hop,11899452,Una Foto Remix (feat. Emilia),"Rodri Molina la puso en ChinaEs el Mesa Tra, to' los culo' pa' atrá'Conmigo vos te vas a escapar, mamáPa' lo oscuro te voy a llevarDecile a tus amiga' que a otro lado va'Pero en realidad venís pa' acáDe-De-De las die' hasta la' sei'Enrolamo' un Phillie piloteando el V6Como Bonnie and Clyde, 'tamo fuera 'e la leyEn lo oscuro haciendo la' cincuenta de GreyTí-Tí-Tí-Tírame una foto , que se veaEn la nave mientra' hacemos cosa' fea'Mami, ese toto  bellaqueaSi dicen que soy bandido, no les crea'Contigo estoy al cienHumo en las ventana' de mi Mercedes Ben'No aguanto las gana', mami, 'tás top tenVamo' pa' la cama, donde no nos ven "
